IDACUIFERO,Titular,Título,Uso,Autoridad que emite el acto,Fecha de registro,Volumen de extracción de aguas nacionales (m3/a?o),Número de anexos de aguas superficiales,Volumen de aguas superficiales (m3/a?o):,Número de anexos de aguas subterráneas,Volumen de aguas subterráneas (m3/a?o):,Número de anexos de descarga:,Volumen de descarga (m3/día):,Número de anexos de zonas federales:,Superficie (m2):
801,CAMPOS AGRICOLAS HERMANOS WIEBE S.P.R DE R.L DE C.V,832028,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44239,200000,0,0,1,200000,0,0,0,0
801,LORENZO ANTONIO GONZALEZ BASTIDOS,834458,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44239,240000,0,0,1,240000,0,0,0,0
801,FRANZ PETERS FEHR,832532,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44226,239515,0,0,1,239515,0,0,0,0
801,ABRAM HARMS PETERS,810839,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44223,180000,0,0,1,180000,0,0,0,0
801,SUSANA REDEKOP NEUDORF,835545,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44211,300000,0,0,1,300000,0,0,0,0
801,ALFREDO LOZANO RINCON,825142,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44210,120000,0,0,1,120000,0,0,0,0
801,ELEAZAR MONGE CHAVIRA,835532,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44210,240000,0,0,1,240000,0,0,0,0
801,LORENZO ANTONIO GONZALEZ BASTIDOS,834441,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44208,240000,0,0,1,240000,0,0,0,0
801,SUSANA REDEKOP NEUDORF,835540,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44207,240000,0,0,1,240000,0,0,0,0
801,JACOB DYCK PETERS,834423,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44202,200000,0,0,1,200000,0,0,0,0
801,ARNOLDO GUTIERREZ HIDALGO,834503,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44201,300000,0,0,1,300000,0,0,0,0
801,COMITE DE AGUA POTABLE COLONIA MODELO,826173,PUBLICO URBANO,DIRECCIÓN LOCAL CHIHUAHUA,44175,40000,0,0,1,40000,0,0,0,0
801,COMITE DE AGUA POTABLE DE ASCENSION,826298,PUBLICO URBANO,DIRECCIÓN LOCAL CHIHUAHUA,44173,220752,0,0,1,220752,0,0,0,0
801,MARIA MAGALI DURAN SANCHEZ,833769,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44167,168000,0,0,1,168000,0,0,0,0
801,SUSANA REDEKOP NEUDORF,825513,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44153,270000,0,0,1,270000,0,0,0,0
801,SUSANA REDEKOP NEUDORF,825447,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44147,240000,0,0,1,240000,0,0,0,0
801,SUSANA REDEKOP NEUDORF,825502,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44144,60000,0,0,1,60000,0,0,0,0
801,"LAURA LIZETH PI?ON HERNANDEZ, LOURDES MENDOZA HERNANDEZ",828314,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44144,1440000,0,0,4,1440000,0,0,0,0
801,HAYDEE GONZALEZ PRIETO,832032,PECUARIO,DIRECCIÓN LOCAL CHIHUAHUA,44130,1533,0,0,1,1533,0,0,0,0
801,GERARDO HIEBERT UNGER,828449,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44130,180000,0,0,1,180000,0,0,0,0
801,"JOSE GUADALUPE RAMOS LUGO, RICARDO RAMOS LUGO",821100,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44125,300000,0,0,1,300000,0,0,0,0
801,CAMPOS AGRICOLAS HERMANOS WIEBE S.P.R DE R.L DE C.V,827943,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44119,200000,0,0,1,200000,0,0,0,0
801,KATHARINA ENNS REIMER,831754,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44113,120000,0,0,1,120000,0,0,0,0
801,HAYDEE GONZALEZ PRIETO,828296,PECUARIO,DIRECCIÓN LOCAL CHIHUAHUA,44105,1149.75,0,0,1,1149.75,0,0,0,0
801,CARLOS ANTONIO RAMIREZ TELLEZ,830346,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44098,157500,0,0,1,157500,0,0,0,0
801,LUIS ARTURO MENDOZA POLANCO,830330,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44098,252000,0,0,1,252000,0,0,0,0
801,ALBERTO REYES BELTRAN,818477,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44096,200000,0,0,1,200000,0,0,0,0
801,WILHELM KRAHN BANMAN,818476,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44096,160000,0,0,1,160000,0,0,0,0
801,"PETER BANMAN KLASSEN, MARGARITA PETERS LOEWEN",817763,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44095,240000,0,0,1,240000,0,0,0,0
801,SOCORRO CERECERES GONZALEZ,825614,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44076,240000,0,0,1,240000,0,0,0,0
801,CORNELIUS MARTENS KRAHN,819424,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44060,59500,0,0,1,59500,0,0,0,0
801,MONICA LETICIA WIEBE PETERS,826413,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44054,300000,0,0,1,300000,0,0,0,0
801,EJIDO COLONIA DIAZ,824127,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44054,120000,0,0,1,120000,0,0,0,0
801,FRANCISCO WIEBE WIEBE,824749,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44054,240000,0,0,1,240000,0,0,0,0
801,SONIA ELENA WIEBE PETERS,811734,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44054,300000,0,0,1,300000,0,0,0,0
801,CORNELIUS FRIESEN THIESEN,820960,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44041,120000,0,0,1,120000,0,0,0,0
801,"JOSE DOLORES ANDAZOLA TAPIA, MARCOS ANTONIO ANDAZOLA POSADAS",822994,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44032,140000,0,0,1,140000,0,0,0,0
801,CORNELIUS MARTENS KRAHN,823359,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44022,336000,0,0,1,336000,0,0,0,0
801,RUBEN HERRERA HERRERA,824294,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44022,360000,0,0,1,360000,0,0,0,0
801,RICARDO ALONSO TUDA LEYVA,823062,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44021,342000,0,0,1,342000,0,0,0,0
801,JACOB HIEBERT UNGER,823287,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44021,120000,0,0,1,120000,0,0,0,0
801,JACOB HIEBERT UNGER,823268,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44021,90000,0,0,1,90000,0,0,0,0
801,MARGARETHA SAWATZKY ENNS,815945,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44019,180000,0,0,1,180000,0,0,0,0
801,SARA LOEWEN KLASSEN,815946,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44019,180000,0,0,1,180000,0,0,0,0
801,JOHAN SAWATZKY BANMAN,811565,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44018,300000,0,0,1,300000,0,0,0,0
801,DAVID WALL REMPEL,823733,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44018,240000,0,0,1,240000,0,0,0,0
801,"EJIDO ASCENSION, TOBIAS RAMOS MARTINEZ",823654,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44015,360000,0,0,1,360000,0,0,0,0
801,EJIDO ASCENSION; CESAR GONZALEZ CARBAJAL,823629,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44013,240000,0,0,1,240000,0,0,0,0
801,RODRIGO YA?EZ GONZALEZ Y SOCIOS,823635,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44013,140000,0,0,1,140000,0,0,0,0
801,"SOFIA GALLARDO ALVAREZ, CARMEN TERESA TORRES GALLARDO",823900,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44011,240000,0,0,1,240000,0,0,0,0
801,JOHAN PETERS GIESBRECHT,823504,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44005,240000,0,0,1,240000,0,0,0,0
801,EJIDO COLONIA DIAZ; AGUSTIN SAENZ GONZALEZ,813264,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44004,240000,0,0,1,240000,0,0,0,0
801,BERNHARD WIEBE KLASSEN,823021,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44004,300000,0,0,1,300000,0,0,0,0
801,FERNANDO JAQUEZ VELAZQUEZ,823331,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43992,312000,0,0,1,312000,0,0,0,0
801,LUIS HERACLIO IBARRA CAMARGO,822625,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43986,80000,0,0,1,80000,0,0,0,0
801,LUIS HERACLIO IBARRA CAMARGO,822624,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43985,100000,0,0,1,100000,0,0,0,0
801,"NESTOR LEA?OS NU?EZ, DANIEL LEA?OS NU?EZ",822325,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43976,320000,0,0,1,320000,0,0,0,0
801,JACOB SCHELLENBERG NEUFELD,821641,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43971,192000,0,0,1,192000,0,0,0,0
801,JOHAN WIEBE KLASSEN,812692,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43970,300000,0,0,1,300000,0,0,0,0
801,EVA PETERS NEUFELD,822070,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43969,240000,0,0,1,240000,0,0,0,0
801,WILHELM KRAHN BANMAN,819579,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43965,210000,0,0,1,210000,0,0,0,0
801,ELIZABETH SCHMITT WOLFE,812670,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43964,180000,0,0,1,180000,0,0,0,0
801,"JOHAN BANMAN PETERS, ANNA NEUFELD WALL",811865,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43957,480000,0,0,1,480000,0,0,0,0
801,CAMPOS AGRICOLAS EL DIVISADERO S.P.R. DE R.L. DE C.V.,821745,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43955,200000,0,0,1,200000,0,0,0,0
801,SUSANA SAWATZKY BANMAN,819730,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43952,120000,0,0,1,120000,0,0,0,0
801,CAMPOS AGRICOLAS EL DIVISADERO S.P.R. DE R.L. DE C.V.,817790,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43952,200000,0,0,1,200000,0,0,0,0
801,SONIA ELENA WIEBE PETERS,821266,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43938,480000,0,0,1,480000,0,0,0,0
801,JOHAN SAWATZKY BANMAN,812767,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43930,239112,0,0,1,239112,0,0,0,0
801,CESAR MENDOZA HERNANDEZ,810903,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43916,240000,0,0,1,240000,0,0,0,0
801,JOHAN TEICHROEB PETERS,812772,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43915,200000,0,0,1,200000,0,0,0,0
801,MARINA ANAYA HERRERA Y SOCIOS,815839,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43914,160000,0,0,1,160000,0,0,0,0
801,CESAR MENDOZA HERNANDEZ,819331,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43913,360000,0,0,1,360000,0,0,0,0
801,JAVIER GAXIOLA PAREDES Y SOCIOS,819227,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43910,232000,0,0,1,232000,0,0,0,0
801,ALVARO BUSTILLOS DELGADO,810676,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43908,480000,0,0,1,480000,0,0,0,0
801,JOHAN SAWATZKY BANMAN,811837,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43903,252000,0,0,1,252000,0,0,0,0
801,HEINRICH BANMAN PETERS,814491,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43903,300000,0,0,1,300000,0,0,0,0
801,AGANETHA PETERS GIESBRECHT,815476,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43902,300000,0,0,1,300000,0,0,0,0
801,JORGE GUILLERMO LANDEROS VILLANUEVA,811598,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43899,132000,0,0,1,132000,0,0,0,0
801,ABRAM HARMS PETERS,812528,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43896,90000,0,0,1,90000,0,0,0,0
801,CORNELIUS PETERS FEHR,818993,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,240000,0,0,1,240000,0,0,0,0
801,"JACOB DYCK PETERS, ANNA NEUFELD NEUFELD",819223,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,200000,0,0,1,200000,0,0,0,0
801,HELENA PETERS NEUFELD,813397,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,320000,0,0,1,320000,0,0,0,0
801,ANNA SAWATZKY BANMAN,818025,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,120000,0,0,1,120000,0,0,0,0
801,SUSANA SAWATSKY BANMAN,818588,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,120000,0,0,1,120000,0,0,0,0
801,KATHARINA ENNS REIMER,818589,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43894,120000,0,0,1,120000,0,0,0,0
801,"ABRAHAM HIEBERT REMPEL, AGATHA WALL PETERS",818941,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43893,138000,0,0,1,138000,0,0,0,0
801,DAVID KLASSEN FEHR,818614,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43885,200000,0,0,1,200000,0,0,0,0
801,ANNA SAWATZKY BANMAN,817894,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43873,120000,0,0,1,120000,0,0,0,0
801,ABRAM HARMS PETERS,817768,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43865,300000,0,0,1,300000,0,0,0,0
801,ISAAK DYCK PETERS,815562,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43860,200000,0,0,1,200000,0,0,0,0
801,CARMEN HERLINDA ANAYA HERRERA,815890,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43851,299332,0,0,1,299332,0,0,0,0
801,FRANCISCO WIEBE WIEBE,813599,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43847,323700,0,0,1,323700,0,0,0,0
801,PEDRO WALL KRAHN,810323,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43845,299484,0,0,1,299484,0,0,0,0
801,ABRAM WOLFE LOEWEN,810971,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43839,300000,0,0,1,300000,0,0,0,0
801,MONICA LETICIA WIEBE PETERS,815817,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43826,300000,0,0,1,300000,0,0,0,0
801,JUAN BANMAN KLASSEN,813581,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43811,30000,0,0,1,30000,0,0,0,0
801,"PETER DYCK PETERS, MARIA TEICHROEB PETERS",811050,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43796,200000,0,0,1,200000,0,0,0,0
801,ISAACK KLASSEN WOLF,813247,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43795,180000,0,0,1,180000,0,0,0,0
801,DAVID WIEBE KNELSEN,814505,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43769,300000,0,0,1,300000,0,0,0,0
801,"JOHAN PETERS LOEWEN, JACOB PETERS LOEWEN",811509,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43766,60000,0,0,1,60000,0,0,0,0
801,MARGARETHA PETERS SCHMITT,810944,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43763,150000,0,0,1,150000,0,0,0,0
801,JUAN SAENZ CANO,815280,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43762,300000,0,0,1,300000,0,0,0,0
801,CESAR MENDOZA HERNANDEZ,810289,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43754,101808,0,0,1,101808,0,0,0,0
801,GERARDO FUNK FRIESEN,812003,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43753,150000,0,0,1,150000,0,0,0,0
801,"SECTOR EMILIANO GOMEZ, GRUPO QUI?ONEZ",812884,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43705,480000,0,0,1,480000,0,0,0,0
801,"GUADALUPE CASTA?EDA BARRAZA, SILVIA CASTRO SANDOVAL",811155,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43692,360000,0,0,1,360000,0,0,0,0
801,GERHARD FRIESSEN ENNS,810314,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43691,192000,0,0,1,192000,0,0,0,0
801,JACOBO BANMAN FEHR,810658,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43671,150000,0,0,1,150000,0,0,0,0
801,JOHAN KRAHN PETERS,811067,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43655,300000,0,0,1,300000,0,0,0,0
801,JOSE EFREN BECERRA ALLEN,810329,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43641,94068,0,0,1,94068,0,0,0,0
801,SUSANA NEUFELD LOEWEN,06CHI158875/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43511,300000,0,0,1,300000,0,0,0,0
801,"EJIDO LEY 6 DE ENERO DE 1915, SECTOR NUM. 1",06CHI158843/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43511,300000,0,0,1,300000,0,0,0,0
801,DAVID NEUFELD DYCK,06CHI158893/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43502,60000,0,0,1,60000,0,0,0,0
801,PEDRO AMARILLAS LOPEZ,06CHI157587/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43479,215654.4,0,0,1,215654.4,0,0,0,0
801,MARIA PETERS KRAHN,06CHI158805/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43427,120000,0,0,1,120000,0,0,0,0
801,PEDRO BANMAN DYCK,06CHI158883/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43427,240000,0,0,1,240000,0,0,0,0
801,HEINRICH GINTER FRIESSEN Y WILHELM KRAHN BANMAN,06CHI156030/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43409,294000,0,0,1,294000,0,0,0,0
801,"MARINA ANAYA HERRERA, Y SOCIOS",06CHI157499/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43319,160000,0,0,1,160000,0,0,0,0
801,JESUS HUMBERTO SALAS MEDINA,06CHI156087/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43266,70000,0,0,1,70000,0,0,0,0
801,BERNARDO ALFONSO PRIETO GONZALEZ,06CHI156921/34GMDL18,PECUARIO,DIRECCIÓN LOCAL CHIHUAHUA,43266,1149.75,0,0,1,1149.75,0,0,0,0
801,ALEXANDER BLUTH LUNT,06CHI157286/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43266,168000,0,0,1,168000,0,0,0,0
801,CARLOS VASQUEZ RODRIGUEZ,06CHI156085/34AMDL16,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43266,98000,0,0,1,98000,0,0,0,0
801,MARINA ANAYA HERRERA Y SOCIOS,06CHI141509/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43252,160000,0,0,1,160000,0,0,0,0
801,MARINA ANAYA HERRERA Y SOCIOS,06CHI141514/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43252,200000,0,0,1,200000,0,0,0,0
801,"SECTOR NUMERO TRES, EJIDO COLONIA DIAZ",06CHI156170/34AMDL16,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43195,252000,0,0,1,252000,0,0,0,0
801,FRANZ PETERS FEHR,06CHI156258/34AMDL16,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43119,260000,0,0,1,260000,0,0,0,0
801,"TIRSO LEYVA QUINTERO, Y SOCIOS (4)",06CHI156415/34AMDL17,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,43035,193200,0,0,1,193200,0,0,0,0
801,SUCESION A BIENES DE EDUARDO FERNANDEZ BALBUENA,06CHI156094/34AMDL16,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,42853,126000,0,0,1,126000,0,0,0,0
801,FRANZ PETERS FEHR,06CHI155426/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,42824,70000,0,0,1,70000,0,0,0,0
801,ROSENDO PALAFOX ROSS,06CHI155429/34AMDL16,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,42800,112000,0,0,1,112000,0,0,0,0
801,JORGE GUILLERMO LANDEROS VILLANUEVA,06CHI134030/34AMDL18,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,42290,402000,0,0,1,402000,0,0,0,0
801,MARIA FERNANDA PEREZ ARREDONDO Y SOCIOS,06CHI140435/34AMDL13,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41778,167846.4,0,0,1,167846.4,0,0,0,0
801,SECTOR STA. CLARA N . 3,06CHI140807/34AMDL13,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41598,240000,0,0,1,240000,0,0,0,0
801,JESUS HUMBERTO SALAS MEDINA,06CHI140765/34AMDL12,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41401,86400,0,0,1,86400,0,0,0,0
801,MARGARETHA ENNS THIESSEN,06CHI140763/34AMDL12,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41401,192000,0,0,1,192000,0,0,0,0
801,SERGIO BLANCAS AGUIRRE Y GEORGINA SOLIS ARMENDARIZ,06CHI140764/34AMDL12,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41401,76800,0,0,1,76800,0,0,0,0
801,"JUAN ANTONIO ESTRADA HERNANDEZ, MONICA LILIANA ESTRADA ARELLANO Y MELCHOR DURAN ESTRADA",06CHI140293/34AMDL11,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,41179,192000,0,0,1,192000,0,0,0,0
